storeName,address1,city,stateCode,postal,latitude,longitude
Charleston,301 King Street,Charleston,SC,29401,32.783361441121,-79.9349348158634
Reston,11937 Market Street,Reston,VA,20190,38.9585,-77.3581
St. Johns Town Center,4835 River City Drive,Jacksonville,FL,32246,30.253253,-81.525252
Green Hills,2126 Abbott Martin Road,Nashville,TN,37215,36.10704,-86.816382
Woodfield,N311 Woodfield Mall,Schaumburg,IL,60173,42.0456619,-88.0388
Mall of America,114 West Market,Bloomington,MN,55425,44.8543,-93.244386
Fashion Place,6191 S State Street,Murray,UT,84107,40.636147,-111.8876
Towson Town Center,825 Dulaney Valley Road,Towson,MD,21204,39.40371,-76.60004
Rockingham Park,99 Rockingham Park Boulevard,Salem,NH,03079,42.767197,-71.231989
Tysons Corner,1961 Chain Bridge Road,McLean,VA,22102,38.91673,-77.22321
SanTan Village,2218 E. Williams Field Road,Gilbert,AZ,85295,33.30879,-111.74271
UTC,4305 La Jolla Village Drive,San Diego,CA,92122,32.871867,-117.212674
Eton,28849 Chagrin Boulevard,Woodmere,OH,44122,41.463332,-81.474623
Lincoln Park,801 W. North Avenue,Chicago,IL,60642,41.91062,-87.64856
South Shore,250 Granite Street,Braintree,MA,02184,42.22222,-71.02444
Los Gatos,23 N. Santa Cruz Avenue,Los Gatos,CA,95030,37.2233897258613,-121.983768164813
Avalon,8130 Avalon Boulevard,Alpharetta,GA,30009,34.0706223695301,-84.2748141288757
Kahala,4211 Waialae Avenue,Honolulu,HI,96816,21.2770811111895,-157.78698547723
Santa Rosa Plaza,1071 Santa Rosa Plaza,Santa Rosa,CA,95401,38.4384398079659,-122.716418643098
Haywood Mall,700 Haywood Road,Greenville,SC,29607,34.8493847884637,-82.3339324090038
Partridge Creek,17360 Hall Road,Clinton Township,MI,48038,42.6257132812891,-82.9464102403831
Derby Street,94 Derby Street,Hingham,MA,02043,42.17605,-70.90996
The Falls,8888 SW 136th Street,Miami,FL,33176,25.6437195637543,-80.3381459437702
Roosevelt Field,630 Old Country Road,Garden City,NY,11530,40.7379742099402,-73.6123079932139
Florida Mall,8001 S. Orange Blossom Trail,Orlando,FL,32809,28.445141,-81.394177
Crocker Park,267 Crocker Park Boulevard,Westlake,OH,44145,41.45909,-81.95301
Maine Mall,364 Maine Mall Road,South Portland,ME,04106,43.633574,-70.334645
Scottsdale Fashion Square,7014 East Camelback Road,Scottsdale,AZ,85251,33.50367,-111.9266
Domain NORTHSIDE,3121 Palm Way,Austin,TX,78758,30.402708,-97.721954
Higuera Street,899 Higuera Street,San Luis Obispo,CA,93401,35.2806175100414,-120.66187958447
Valencia Town Center,24201 West Valencia Boulevard,Valencia,CA,91355,34.41515,-118.55813
Fair Oaks,11750 Fair Oaks,Fairfax,VA,22033,38.8626,-77.359
Aspen Grove,7301 S Santa Fe Drive,Littleton,CO,80120,39.585168,-105.026
Northbrook,1056 Northbrook Court,Northbrook,IL,60062,42.15048,-87.81709
Corte Madera,1520 Redwood Highway,Corte Madera,CA,94925,37.928465,-122.514284
Mayfair,2500 N. Mayfair Road,Wauwatosa,WI,53226,43.06355,-88.04479
Bayshore,5715 N Centerpark Way,Glendale,WI,53217,43.121566,-87.915186
MarketStreet,1220 Market Street,Lynnfield,MA,01940,42.5155906753277,-71.0342469577784
Wellington Green,10300 W. Forest Hill Blvd,Wellington,FL,33414,26.647028,-80.208856
West Town Mall,7600 Kingston Pike,Knoxville,TN,37919,35.924375,-84.03725
Los Cerritos,242 Los Cerritos Center,Cerritos,CA,90703,33.862423,-118.093942
Old Orchard,4999 Old Orchard Center,Skokie,IL,60077,42.057204,-87.749956
Town Square,6671 Las Vegas Blvd South,Las Vegas,NV,89119,36.06767,-115.17607
Bellevue Square,213 Bellevue Square,Bellevue,WA,98004,47.616327,-122.2042
Walden Galleria,G116 Walden Galleria,Buffalo,NY,14225,42.914661,-78.762075
Valley Fair,2855 Stevens Creek Boulevard,Santa Clara,CA,95050,37.324585,-121.946497
Topanga,6600 Topanga Canyon Boulevard,Canoga Park,CA,91303,34.1902373711111,-118.603103308888
Oakridge,925 Blossom Hill Road,San Jose,CA,95123,37.251599,-121.862899
Crossgates,1 Crossgates Mall Road,Albany,NY,12203,42.68902,-73.849222
Boca Raton,6000 Glades Road,Boca Raton,FL,33431,26.36569,-80.13323
Michigan Avenue,401 North Michigan Avenue,Chicago,IL,60611,41.88929,-87.6237
Summit Mall,3265 West Market Street,Akron,OH,44333,41.13441,-81.61738
Briarwood,100 Briarwood Circle,Ann Arbor,MI,48108,42.2404545598976,-83.7469885272514
Vintage Faire,3401 Dale Road,Modesto,CA,95356,37.6877498089083,-121.053261792864
Northlake Mall,6801 Northlake Mall Drive,Charlotte,NC,28216,35.35257,-80.85143
Williamsburg,247 Bedford Avenue,Brooklyn,NY,11211,40.71557,-73.95988
Houston Galleria,5085 Westheimer Road,Houston,TX,77056,29.7390610314163,-95.4644098408043
Dadeland,7535 Dadeland Mall,Miami,FL,33156,25.689879,-80.313707
Friendly Center,3320 West Friendly Avenue,Greensboro,NC,27410,36.08601,-79.83615
Jordan Creek,101 Jordan Creek Parkway,West Des Moines,IA,50266,41.570044,-93.803773
Saddle Creek,2031 West Street,Germantown,TN,38138,35.09344,-89.812433
Somerset,2800 W Big Beaver Road,Troy,MI,48084,42.563,-83.18337
Boylston Street,815 Boylston Street,Boston,MA,02116,42.3489865114876,-71.0824840137929
Stanford Shopping Center,379 Stanford Shopping Center,Palo Alto,CA,94304,37.44177,-122.172489
Third Street Promenade,1415 Third Street Promenade,Santa Monica,CA,90401,34.0153281385404,-118.495429158211
The Promenade Shops at Briargate,1685 Briargate Parkway,Colorado Springs,CO,80920,38.962692,-104.79529
Quaker Bridge,150 Quaker Bridge Mall     ,Lawrence Township,NJ,08648,40.291824,-74.681344
Tice's Corner,441 Chestnut Ridge Road,Woodcliff Lake,NJ,07677,41.0419100628009,-74.0751696418098
University Village,2651 NE 49th St,Seattle,WA,98105,47.6639,-122.2984
Manhattan Village,3200 Sepulveda Boulevard,Manhattan Beach,CA,90266,33.89909,-118.393209
New Haven,65 Broadway,New Haven,CT,06511,41.3119,-72.93093
Arrowhead,7700 West Arrowhead Towne Ctr,Glendale,AZ,85308,33.6422,-112.2256
Broadway Plaza,1200 S. Main Street,Walnut Creek,CA,94596,37.896525,-122.059297
Bridge Street,320 The Bridge Street,Huntsville,AL,35806,34.716144,-86.673021
Brickell City Centre,701 S. Miami Avenue,Miami,FL,33130,25.7667,-80.1935
Montgomery Mall,7101 Democracy Boulevard,Bethesda,MD,20817,39.024365,-77.146182
University Town Center,140 University Town Center Dr,Sarasota,FL,34243,27.38493,-82.45268
Ridgedale,12531 Wayzata Boulevard,Minnetonka,MN,55305,44.9685555,-93.436633377
The Mall at Bay Plaza,200 Baychester Avenue,Bronx,NY,10475,40.8638,-73.8269
Deer Park,20530 N. Rand Road,Deer Park,IL,60010,42.1605,-88.0554
Del Monte,240 Del Monte Center,Monterey,CA,93940,36.5841034599808,-121.897348157823
The Woodlands,1201 Lake Woodlands Drive,The Woodlands,TX,77380,30.1645,-95.4555
Nanuet,8115 Fashion Drive ,Nanuet,NY,10954,41.0956,-74.0162
Irvine Spectrum Center,930 Spectrum Center Drive,Irvine,CA,92618,33.6489,-117.7406
Eastwood Towne Center,3025 Preyde Boulevard,Lansing,MI,48912,42.764347,-84.514723
Carlsbad,1923 Calle Barcelona,Carlsbad,CA,92009,33.0712563412084,-117.265198794902
Eastview,7979 Pittsford-Victor Road,Victor,NY,14564,43.0297,-77.4428
Ross Park,1000 Ross Park Mall Drive,Pittsburgh,PA,15237,40.54369,-80.00782
Leawood,4529 West 119th Street,Leawood,KS,66209,38.91131,-94.6378
SouthPark,4400 Sharon Road,Charlotte,NC,28211,35.152573,-80.832012
Fifth Avenue,767 Fifth Avenue,New York,NY,10153,40.764479,-73.973211
Victoria Gardens,12461 South Main Street,Rancho Cucamonga,CA,91739,34.11069,-117.5335
Pheasant Lane,310 Daniel Webster Highway,Nashua,NH,03060,42.701675,-71.4373736743911
Syracuse,1 Destiny USA Drive,Syracuse,NY,13204,43.069518399488,-76.1729174435949
Augusta,3450 Wrightsboro Road,Augusta,GA,30909,33.46575,-82.08065
Tacoma Mall,4502 S Steele Street,Tacoma,WA,98409,47.215559,-122.4696
Altamonte,451 E Altamonte Drive,Altamonte Springs,FL,32701,28.66665,-81.37696
Rosedale Center,1595 Highway 36 W,Roseville,MN,55113,45.012576,-93.173237
Chestnut Street,2125 Chestnut Street,San Francisco,CA,94123,37.800415,-122.438363
Mall of Georgia,3333 Buford Drive,Buford,GA,30519,34.06567,-83.98333
Southdale,1560 Southdale Center,Edina,MN,55435,44.880785,-93.324933
The Greene,4422 Cedar Park Drive,Beavercreek,OH,45440,39.694173,-84.101912
Potomac Town Center,15100 Potomac Town Place,Woodbridge,VA,22191,38.6282157,-77.2877284
Penn Square,1901 NW Expressway Street,Oklahoma City,OK,73118,35.52485,-97.54551
CoolSprings Galleria,1800 Galleria Boulevard,Franklin,TN,37067,35.95814,-86.81336
Cherry Creek,3000 E 1st Avenue,Denver,CO,80206,39.717437,-104.95492
Royal Hawaiian,2301 Kalakaua Avenue,Honolulu,HI,96815,21.278075,-157.828165
Garden State Plaza,1 Garden State Plaza,Paramus,NJ,07652,40.9184820820207,-74.0756301002416
Downtown Nashville,500 Broadway,Nashville,TN,37203,36.16046,-86.7787
Bethesda Row,4860 Bethesda Avenue,Bethesda,MD,20814,38.9806471041079,-77.0977081040797
Brandon,459 Brandon Town Center Drive,Brandon,FL,33511,27.9328,-82.3264
Lynnhaven Mall,701 Lynnhaven Parkway,Virginia Beach,VA,23452,36.816619,-76.071055
First Colony Mall,16535 Southwest Freeway,Sugar Land,TX,77479,29.59141,-95.625
Sagemore,500 Route 73 South,Marlton,NJ,08053,39.87958,-74.91887
University Park Village,1620 S. University Drive,Fort Worth,TX,76107,32.727707,-97.361671
Bridgewater,400 Commons Way,Bridgewater,NJ,08807,40.58638,-74.61979
Southcenter,801 Southcenter Mall,Tukwila,WA,98188,47.45935,-122.258
River Park Square,710 West Main Avenue,Spokane,WA,99201,47.658889,-117.4225
The Oaks,432 West Hillcrest Drive,Thousand Oaks,CA,91360,34.18405,-118.88763
Solomon Pond Mall,601 Donald Lynch Boulevard,Marlborough,MA,01752,42.355548,-71.612912
Walt Whitman,160 Walt Whitman Road,Huntington Station,NY,11746,40.821498,-73.410436
